track,completion_rate,avg_steps,avg_progress,avg_velocity,avg_distance,avg_reward
cocoa_temple,0.0,1000.0,-0.21452527171629204,0.08173845214361682,-310.649169921875,1.9306852131736836
cornfield_crossing,0.0,1000.0,-0.205553650647084,0.08183625988641156,-259.7867431640625,12.621864164200346
hacienda,0.0,1000.0,-0.5303074697383119,0.08186891809238357,-618.6203002929688,-22.050941977148653
lighthouse,0.0,1000.0,-0.5878143886060887,0.08315787924377403,-517.1919555664062,-12.560175453470215
scotland,0.0,1000.0,-0.47565829052284353,0.08248349736678841,-631.9893798828125,-25.485330338769124
snowtuxpeak,0.0,1000.0,-0.709177959418347,0.08180942248152206,-703.9091186523438,-32.901756749305854
zengarden,0.0,1000.0,-0.7643610824745146,0.08172285556793273,-542.9999389648438,-15.620302270941972
