track,completion_rate,avg_steps,avg_progress,avg_velocity,avg_distance,avg_reward
cocoa_temple,0.0,1000.0,0.27387426282274724,0.5889883656891873,396.5910949707031,557.1779171015781
cornfield_crossing,0.0,1000.0,0.23209889630139752,0.7677747026934612,293.3356628417969,388.84840222846776
hacienda,0.0,1000.0,0.03469864538559944,2.05957806053769,40.47705841064453,349.257126205537
lighthouse,0.0,1000.0,0.077827089466319,0.1555446613963052,68.47662353515625,278.76414473844073
scotland,0.0,1000.0,0.04516695689079531,12.451903921664734,60.01164627075195,382.95886391089897
snowtuxpeak,0.0,1000.0,0.02295746213245072,11.958724206759682,22.78689956665039,218.57158470224618
zengarden,0.0,1000.0,0.5493748811661198,20.936374104446625,390.27435302734375,510.7040996959413
