track,completion_rate,avg_steps,avg_progress,avg_velocity,avg_distance,avg_reward
cocoa_temple,0.0,1000.0,0.07813437685798509,0.08172730602199711,113.14461517333984,176.40245629571461
cornfield_crossing,0.0,1000.0,0.0009181008212784823,0.08203398431851891,1.1603317260742188,175.98141831249117
hacienda,0.0,1000.0,0.5711454052201576,0.08495004025859991,666.259033203125,237.36918602900417
lighthouse,0.0,1000.0,0.5376361749135083,0.08553629275448789,473.0423583984375,201.3786667661163
scotland,0.0,1000.0,0.7260928113289437,9.285701287093998,964.7323608398438,280.3396679905613
snowtuxpeak,0.0,1000.0,0.14528061110760948,10.518935573236751,144.2012481689453,254.8927902729231
zengarden,0.0,1000.0,0.058815134820446896,0.08172267675399802,41.7821044921875,195.05745517389605
