track,completion_rate,avg_steps,avg_progress,avg_velocity,avg_distance,avg_reward
cocoa_temple,0.0,1000.0,0.3829,0.49,554.43,588.32
cornfield_crossing,0.0,1000.0,0.331,11.5,418.36,452.48
hacienda,0.0,1000.0,0.2922,9.6,340.87,391.29
lighthouse,0.0,1000.0,0.5279,12.29,464.49,499.7
scotland,0.0,1000.0,0.25239999999999996,7.72,335.37,380.35
snowtuxpeak,0.0,1000.0,0.024900000000000002,6.36,24.73,423.14
zengarden,0.0,1000.0,0.0444,9.82,31.54,496.21
